City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
155,sur,22.5667,59.5289,27.82,48,0,2.52,OM,1680846185
156,bathsheba,13.2167,-59.5167,26.34,78,40,6.17,BB,1680846124
157,wajima,37.4,136.9,13.38,100,75,3.09,JP,1680846198
158,klimovo,52.3805,32.1923,10.06,87,100,4.15,RU,1680846496
159,lexington,37.9887,-84.4777,7.3,76,100,0.89,US,1680846204
160,santa isabel,-23.3156,-46.2214,19.61,99,94,0.88,BR,1680846409
161,sabang,5.8933,95.3214,28.22,73,97,2.62,ID,1680846496
162,buraydah,26.326,43.975,18.25,46,74,5.23,SA,1680846497
163,coquimbo,-29.9533,-71.3436,14.85,100,20,2.06,CL,1680846439
164,castro,-24.7911,-50.0119,15.41,98,100,4.12,BR,1680846103
165,lethem,3.3803,-59.7968,25.33,59,100,5.77,GY,1680846497
166,nikolskoye,59.7035,30.7861,3.22,88,72,2.63,RU,1680846134
167,sokolo,14.7328,-6.1219,27.22,16,86,3.55,ML,1680846497
168,plettenberg bay,-34.0527,23.3716,19.13,82,15,5.61,ZA,1680846497
169,faanui,-16.4833,-151.75,28.6,74,100,7.33,PF,1680846106
170,port moresby,-9.4431,147.1797,30.68,74,75,8.75,PG,1680846475
171,challans,46.8436,-1.8749,5.51,91,79,2.93,FR,1680846196
172,ntcheu,-14.8203,34.6359,18.78,86,48,1.26,MW,1680846498
173,vila velha,-20.3297,-40.2925,23.3,94,75,1.03,BR,1680846180
174,saskylakh,71.9167,114.0833,-16.33,92,100,6.33,RU,1680846117
175,diego de almagro,-26.3667,-70.05,17.62,40,0,0.89,CL,1680846438
176,plaster rock,46.9065,-67.39,3.31,90,100,5.17,CA,1680846499
177,kahului,20.8947,-156.47,23.8,80,0,7.72,US,1680846166
178,opuwo,-18.0607,13.84,21.76,44,27,1.01,NA,1680846203
179,bethel,41.3712,-73.414,15.2,35,75,3.09,US,1680846100
180,ancud,-41.8697,-73.8203,9.31,79,97,1.3,CL,1680846110
181,kathmandu,27.7167,85.3167,24.12,30,20,2.06,NP,1680845813
182,jinchang,38.4953,102.1739,9.84,18,25,4.9,CN,1680846500
183,ouargaye,11.5033,0.0572,29.37,45,92,2.28,BF,1680846500
184,general roca,-39.0333,-67.5833,18.53,67,24,2.17,AR,1680846501
185,saint-augustin,51.226,-58.6502,-1.28,94,100,7.02,CA,1680846131
186,tromso,69.6496,18.957,3.54,75,0,1.54,NO,1680846501
187,santiago del estero,-27.7951,-64.2615,22.37,76,96,0.42,AR,1680846501
188,asyut,27.181,31.1837,17.1,13,0,0.92,EG,1680846501
189,mahebourg,-20.4081,57.7,28.47,89,40,1.54,MU,1680846101
190,oriximina,-1.7656,-55.8661,22.49,95,68,0.43,BR,1680846164
191,basco,20.4487,121.9702,26.18,65,18,1.62,PH,1680846502
192,fetesti,44.3833,27.8333,6.97,69,18,3.88,RO,1680846502
193,muros,42.7762,-9.0603,12.05,61,83,3.11,ES,1680846502
194,broome,42.2506,-75.833,7.21,56,0,5.14,US,1680846094
195,carndonagh,55.25,-7.2667,1.79,91,34,2.25,IE,1680846503
196,matay,28.419,30.7792,24.83,15,0,3.43,EG,1680846503
197,mukhen,48.1,136.1,3.8,89,100,2.13,RU,1680846503
198,krasnoselkup,65.7,82.4667,-18.45,84,92,6.91,RU,1680846503
199,marsa matruh,31.3525,27.2453,18.11,82,40,6.69,EG,1680846503
200,comodoro rivadavia,-45.8667,-67.5,14.92,36,0,11.32,AR,1680845964
201,fez,34.0372,-4.9998,10.14,57,0,1.54,MA,1680846304
202,okhotsk,59.3833,143.3,-8.58,67,35,3.58,RU,1680846145
203,cherskiy,68.75,161.3,-14.87,93,86,2.82,RU,1680846122
204,san patricio,28.017,-97.5169,18.92,97,100,3.62,US,1680846126
205,sobolevo,54.4299,31.8996,6.57,81,100,5.51,RU,1680846105
206,noyabrsk,63.1994,75.4507,-13.86,72,56,7.47,RU,1680846504
207,katherine,-14.4667,132.2667,35.18,34,40,5.14,AU,1680846505
208,vila franca do campo,37.7167,-25.4333,16.23,89,95,7.95,PT,1680846120
209,paamiut,61.994,-49.6678,-2.24,96,99,1.26,GL,1680846147
210,acapulco,16.8634,-99.8901,25.9,78,20,1.54,MX,1680846183
211,mamallapuram,12.6264,80.1722,33.03,56,11,4.73,IN,1680846505
212,ahipara,-35.1667,173.1667,18.27,76,100,4.38,NZ,1680846505
213,batsfjord,70.6345,29.7185,2.96,59,13,10.8,NO,1680846505
214,lixourion,38.2019,20.4314,11.69,64,43,7.23,GR,1680846506
215,de aar,-30.6497,24.0123,20.07,37,5,2.21,ZA,1680846506
216,beringovskiy,63.05,179.3167,-12.29,91,100,5.1,RU,1680846137
217,kirakira,-10.4544,161.9205,28.79,74,71,0.8,SB,1680846506
218,amahai,-3.3333,128.9167,29.0,70,60,3.0,ID,1680846506
219,potenza,40.6443,15.8086,3.14,64,2,0.94,IT,1680846506
220,cocal,-28.6167,-49.35,16.76,99,100,0.89,BR,1680846506
221,saint-philippe,-21.3585,55.7679,28.77,82,77,3.93,RE,1680846101
222,medicine hat,50.0501,-110.6683,2.34,61,0,1.54,CA,1680846426
223,cockburn town,21.4612,-71.1419,24.88,72,4,8.43,TC,1680846507
224,kathu,7.9178,98.3332,32.9,68,95,2.86,TH,1680846507
225,lorengau,-2.0226,147.2712,26.05,86,100,5.63,PG,1680846176
226,hasaki,35.7333,140.8333,21.23,76,95,13.86,JP,1680846142
227,kichera,55.9375,110.0997,-3.76,79,100,3.97,RU,1680846507
228,glendive,47.1053,-104.7125,-0.21,93,0,3.6,US,1680846507
229,acajutla,13.5928,-89.8275,27.27,71,14,1.11,SV,1680846317
230,palana,59.1167,159.9667,-7.19,81,99,4.7,RU,1680846117
231,bukachacha,52.9833,116.9167,0.45,35,60,3.67,RU,1680846508
232,houma,29.5958,-90.7195,24.44,92,100,3.6,US,1680846507
233,fagersta,60.0042,15.7932,-2.79,80,16,1.15,SE,1680846508
234,havelock,34.8791,-76.9013,21.64,89,20,0.0,US,1680846508
235,mount gambier,-37.8333,140.7667,18.37,68,89,3.9,AU,1680846113
236,srivardhan,18.0333,73.0167,31.15,52,54,3.9,IN,1680846509
237,whitehorse,60.7161,-135.0538,3.43,65,75,7.72,CA,1680846343
238,avera,33.194,-82.5271,22.03,89,99,3.54,US,1680846129
239,dunedin,-45.8742,170.5036,10.67,73,6,3.93,NZ,1680845903
240,butaritari,3.0707,172.7902,27.92,81,77,7.6,KI,1680846103
241,fortuna,40.5982,-124.1573,11.19,91,100,4.02,US,1680846096
242,rio verde de mato grosso,-18.9181,-54.8442,21.58,91,98,1.17,BR,1680846509
243,kurtamysh,54.9103,64.4319,-1.9,35,51,8.87,RU,1680846510
244,wad rawah,15.1603,33.1397,29.04,12,26,5.87,SD,1680846510
245,aripuana,-9.1667,-60.6333,20.78,100,100,0.37,BR,1680846510
246,tuktoyaktuk,69.4541,-133.0374,-17.0,85,75,4.63,CA,1680846119
247,jurm,36.8648,70.8342,14.95,29,75,1.1,AF,1680846510
248,ponta do sol,32.6667,-17.1,16.51,77,5,1.17,PT,1680846147
249,mananjary,-21.2167,48.3333,24.13,87,100,1.64,MG,1680846511
250,sao joao da barra,-21.6403,-41.0511,22.45,90,68,1.92,BR,1680846136
251,mashpee,41.6484,-70.4811,13.16,75,75,2.06,US,1680846511
252,uglegorsk,49.0833,142.0333,2.21,84,100,0.83,RU,1680846511
253,porto nacional,-10.7081,-48.4172,24.0,95,45,0.64,BR,1680846511
254,severodvinsk,64.5635,39.8302,-1.94,80,56,2.72,RU,1680846511
255,haines junction,60.7522,-137.5108,1.97,64,97,3.09,CA,1680846173
256,leshukonskoye,64.8989,45.7622,-5.47,86,83,3.21,RU,1680846512
257,bela,25.9333,81.9833,34.9,9,3,3.71,IN,1680846512
258,grand gaube,-20.0064,57.6608,28.54,71,76,1.34,MU,1680846512
259,la ronge,55.1001,-105.2842,-2.86,39,0,3.6,CA,1680846142
260,harper,4.375,-7.7169,26.23,83,22,1.76,LR,1680846144
261,magadan,59.5667,150.8,-3.59,87,87,1.7,RU,1680846443
262,nashville,36.1659,-86.7844,8.26,74,75,4.63,US,1680846382
263,cordeiropolis,-22.4819,-47.4567,17.82,98,93,0.71,BR,1680846235
264,tuatapere,-46.1333,167.6833,9.81,75,10,1.56,NZ,1680846176
265,ulcinj,41.9294,19.2244,6.12,57,8,3.04,ME,1680846513
266,galeana,24.8333,-100.0667,11.56,92,99,0.43,MX,1680846513
267,hambantota,6.1241,81.1185,32.19,70,20,1.54,LK,1680846154
268,mandalgovi,45.7625,106.2708,7.0,13,0,7.46,MN,1680846175
269,gorom-gorom,14.4439,-0.2361,27.22,14,67,3.16,BF,1680846513
270,maragogi,-9.0122,-35.2225,24.83,79,37,1.18,BR,1680846129
271,chapais,49.7834,-74.8492,-4.12,89,84,5.11,CA,1680846153
272,petropavlovsk-kamchatskiy,53.0452,158.6483,4.33,48,0,3.0,RU,1680846514
273,dalbandin,28.8947,64.4101,27.14,16,0,4.27,PK,1680846260
274,mwinilunga,-11.7358,24.4293,16.91,93,100,1.8,ZM,1680846514
275,souillac,-20.5167,57.5167,27.21,89,40,1.54,MU,1680846128
276,beinamar,8.6698,15.3813,30.19,37,55,2.2,TD,1680846514
277,buchanan,5.8808,-10.0467,25.71,88,67,0.84,LR,1680846514
278,gravdal,68.1214,13.5031,3.64,85,90,2.87,NO,1680846514
279,chongwe,-15.3292,28.682,16.32,78,59,1.7,ZM,1680846514
280,kavaratti,10.5669,72.642,28.16,71,6,1.8,IN,1680846169
281,la asuncion,11.0333,-63.8628,24.85,88,64,7.72,VE,1680846515
282,kaitangata,-46.2817,169.8464,9.86,69,25,2.79,NZ,1680846107
283,seydi,39.4816,62.9137,22.55,29,100,4.34,TM,1680846515
284,oranjemund,-28.55,16.4333,17.63,85,99,2.4,NA,1680846199
285,mweka,-4.85,21.5667,22.08,85,97,1.41,CD,1680846515
286,myitkyina,25.3833,97.4,37.92,17,2,0.45,MM,1680846515
287,sao filipe,14.8961,-24.4956,22.15,79,97,4.38,CV,1680846115
288,kormilovka,55.0026,74.1028,-3.36,63,100,9.06,RU,1680846516
289,quatre cocos,-20.2078,57.7625,28.38,67,71,3.3,MU,1680846106
290,marawi,7.9986,124.2928,26.38,60,82,3.25,PH,1680846182
291,meadow lake,34.8014,-106.5436,11.27,31,42,4.18,US,1680846516
292,egvekinot,66.3167,-179.1667,-23.81,84,0,3.74,RU,1680846516
293,yerbogachen,61.2767,108.0108,-1.34,79,97,6.4,RU,1680846146
294,kloulklubed,7.0419,134.2556,26.28,70,98,3.49,PW,1680846517
295,saint-gaudens,43.0833,0.6667,3.34,76,36,1.96,FR,1680846517
296,mangit,40.5971,70.9607,19.09,32,100,1.2,UZ,1680846517
297,karpathos,35.507,27.2132,13.98,77,40,2.57,GR,1680846182
298,lagos,6.5833,3.75,27.18,89,100,1.74,NG,1680846432
299,richards bay,-28.783,32.0377,21.64,72,18,1.55,ZA,1680846145
300,taoudenni,22.6783,-3.9836,20.99,29,0,2.36,ML,1680846142
301,lanzhou,36.0564,103.7922,11.17,22,92,2.53,CN,1680846518
302,arraial do cabo,-22.9661,-42.0278,23.85,80,91,1.48,BR,1680846098
303,ibb,13.9667,44.1833,20.35,53,88,1.92,YE,1680846518
304,grand-lahou,5.1367,-5.0242,26.15,89,83,3.09,CI,1680846518
305,tsagan aman,47.5639,46.7218,17.13,37,40,6.45,RU,1680846518
306,isilkul,54.9109,71.2728,-2.96,54,82,9.2,RU,1680846518
307,jiuquan,39.7432,98.5174,12.01,12,71,4.24,CN,1680846518
308,verkhoyansk,67.5447,133.385,-12.0,64,100,4.57,RU,1680846136
309,anito,12.4497,125.2886,28.82,65,97,4.04,PH,1680846519
310,iranshahr,27.2025,60.6848,27.19,18,0,2.06,IR,1680846519
311,progreso,21.2833,-89.6667,27.06,72,0,6.09,MX,1680846519
312,fallon,39.4735,-118.7774,11.62,37,75,4.12,US,1680846519
313,calvinia,-31.4707,19.776,13.23,79,1,2.53,ZA,1680846519
314,codo,-4.4553,-43.8856,22.17,100,100,0.84,BR,1680846519
315,kuching,1.55,110.3333,31.14,70,20,2.06,MY,1680846519
316,walvis bay,-22.9575,14.5053,16.23,92,51,2.03,NA,1680846520
317,marsh harbour,26.5412,-77.0636,23.52,71,4,6.28,BS,1680846520
318,batemans bay,-35.7167,150.1833,21.17,59,76,4.43,AU,1680846124
319,muskegon,43.3,-86.1334,3.92,61,0,4.12,US,1680846469
320,furth im wald,49.3097,12.84,4.43,83,2,0.64,DE,1680846520
321,ayan,56.45,138.1667,-4.05,65,100,2.13,RU,1680846520
322,sattenapalle,16.4,80.1833,36.47,31,5,4.03,IN,1680846520
323,betioky,-23.7167,44.3833,25.72,70,0,2.83,MG,1680846521
324,trincomalee,8.5711,81.2335,29.08,65,17,4.48,LK,1680846521
325,chara,56.9064,118.2631,-5.36,62,87,1.85,RU,1680846112
326,santa marinella,42.0345,11.8536,9.28,51,57,1.47,IT,1680846521
327,pangnirtung,66.1451,-65.7125,-21.0,84,20,0.0,CA,1680846134
328,alofi,-19.0595,-169.9187,26.94,89,100,2.57,NU,1680846179
329,upata,8.0086,-62.3989,22.33,79,99,3.66,VE,1680846521
330,neuquen,-38.9516,-68.0591,11.94,87,0,1.03,AR,1680846522
331,phan thiet,10.9333,108.1,31.84,54,84,5.76,VN,1680846522
332,pokhara,28.2333,83.9833,28.67,21,1,3.65,NP,1680846169
333,aswan,24.0934,32.907,19.61,20,0,3.09,EG,1680846200
334,bull savanna,17.8868,-77.5902,22.05,74,0,4.76,JM,1680846522
335,mont-dore,-22.2833,166.5833,27.99,71,28,3.27,NC,1680846522
336,saint george,37.1041,-113.5841,12.33,33,0,0.89,US,1680846105
337,georgetown,5.4112,100.3354,31.96,70,40,4.12,MY,1680845952
338,nizhyn,51.048,31.8869,5.83,84,100,2.08,UA,1680846523
339,sungaipenuh,-2.0833,101.3833,26.98,54,87,2.37,ID,1680846523
340,santa cruz,-17.8,-63.1667,20.7,88,20,2.57,BO,1680846303
341,klaksvik,62.2266,-6.589,2.51,77,48,2.22,FO,1680846152
342,shubarshi,48.5872,57.1869,17.28,30,14,4.05,KZ,1680846523
343,turukhansk,65.8167,87.9833,-21.67,83,97,6.82,RU,1680846097
344,mareeba,-17.0,145.4333,29.16,69,56,2.47,AU,1680846523
345,turan,16.0678,108.2208,27.99,83,75,4.12,VN,1680846524
346,ketchikan,55.3422,-131.6461,2.77,98,100,2.31,US,1680846524
347,kuandian,40.7286,124.7847,6.35,20,0,6.94,CN,1680846524
348,kungurtug,50.5994,97.5228,4.96,48,7,0.32,RU,1680846142
349,price,39.5994,-110.8107,0.62,46,0,2.57,US,1680846524
350,shenjiamen,29.9576,122.298,13.28,79,85,6.1,CN,1680846524
351,sumbe,-11.2061,13.8437,26.73,85,99,1.76,AO,1680846524
352,huarmey,-10.0681,-78.1522,25.17,84,72,2.9,PE,1680846164
353,tasiilaq,65.6145,-37.6368,-4.91,93,95,2.24,GL,1680846101
354,zakamensk,50.3741,103.2863,10.21,18,13,5.31,RU,1680846525
355,southampton,50.904,-1.4043,5.45,92,1,0.45,GB,1680846326
356,cabo san lucas,22.8909,-109.9124,20.28,50,0,4.01,MX,1680846133
357,san carlos de bariloche,-41.1456,-71.3082,7.86,76,0,3.6,AR,1680846525
358,tshikapa,-6.4167,20.8,22.92,89,100,1.71,CD,1680846525
359,derzhavinsk,51.1,66.3167,4.85,89,100,7.85,KZ,1680846525
360,sidi ali,36.0998,0.4206,10.71,57,92,3.16,DZ,1680846132
361,phalaborwa,-23.943,31.1411,17.6,59,0,2.39,ZA,1680846526
362,kruisfontein,-34.0033,24.7314,19.94,78,66,9.03,ZA,1680846093
363,sabha,27.0377,14.4283,14.71,57,53,7.24,LY,1680846526
364,honiara,-9.4333,159.95,27.88,83,82,0.39,SB,1680846526
365,necochea,-38.5473,-58.7368,14.69,88,77,5.17,AR,1680846174
